과제번호,과제명,진료과,연구책임기관,전체목표연구대상자수,연구기간,연구종류,임상시험단계(연구모형),연구범위
C130010,조직구증식증 임상연구 네트워크 구축 및 운영(HLH),Pediatrics,서울아산병원,120,3년,1,1,1
C130011,대한민국 쇼그렌 증후군 코호트 구축,Rheumatology,가톨릭대 서울성모병원,500,6년,1,1,1
C100002,Lymphoma Study for Auto-PBSCT,Hematology,가톨릭대 서울성모병원,,1년,1,1,2
C110007,"악성림프종의 임상양상과 항암 화학요법의 치료 성적 조사 및 예후 예측 지표 분석, retrospective study",Hematology,가톨릭대 서울성모병원,200,,1,2,2
C140012,우울증 임상연구네트워크구축,Psychiatry,가톨릭대 여의도성모병원,300,11개월,1,1,1
C160041,우울증 임상연구센터,Psychiatry,가톨릭대 여의도성모병원,1183,1년,1,1,1
C140004,소화성궤양 임상연구네트워크 구축사업,Gastroenterology,가톨릭대 인천성모병원,2000,24개월,1,1,1
C110005,희귀난치성질환 호흡재활 중앙관리센터 운영,Rehabilitation Medicine,강남세브란스병원,,11개월,1,2,2
C110004,"지속성외래복막투석(CAPD) 및 자동복막투석(APD) 환자의 삶의 질(QOL)을 비교하기 위한, 전향적, 다기관, 관찰연구",Nephrology,경북대학교병원,300,12개월,2,8,1
C140014,제2형 당뇨병 임상연구네트워크 구축사업,Endocrinology,경희대학교병원,700,120개월,1,1,1
C160013,한국 노인노쇠 코호트 구축 및 중재 연구 사업,Family Medicine,경희대학교병원,3000,5년,1,1,1
C160014,병원 기반 당뇨병 예방 프로그램의 효과 비교를 위한 전향적 대조군 임상 연구,Endocrinology,경희대학교병원,744,3년,2,8,1
C110011,병원 기반 인플루엔자 임상 네트워크,Infectious disease,고려대구로병원,,,1,2,1
C140001,병원 기반 인플루엔자 임상 네트워크(소아청소년),Pediatrics,고려대구로병원,,,1,2,1
C110008,Lamivudine 내성변이가 발생한 만성 B형간염 환자에서 telbivudine과 adefovir dipivoxil 병합요법과 lamivudine과 adefovir dipivoxil 병합요법의 효과를 비교하기 위한 전향적 무작위배정 연구 : 52주간의 pilot 연구,Gastroenterology,고려대안산병원,60,15개월,2,8,1
C110003,복수를 동반한 간경변증 환자의 예후 예측에 대한 혈청 Cystatin C의 유용성,Gastroenterology,고려대안암병원,445,5년,1,2,1
C110012,복수를 동반한 간경변 환자에서 norfloxacin 매일 투여와 ciprofloxacin 주 1회 투여시 자발성 세균성 복막염의 예방 효과 비교,Gastroenterology,고려대안암병원,124,12개월,2,8,1
C130012,한국인 유전성(가족성) 부정맥 질환 임상연구 네트워크 구축,Cardiology,고려대안암병원,250,8년,1,1,1
C160033,"간세포암종 감시 검사로서 biomarker(AFP, AFP-L3, PIVKA-Ⅱ) 검사와 복부 초음파 또는 CT 검사 병행의 유용성",Gastroenterology,고려대학교 안암병원,1418,4년,1,1,1
C160040,심혈관질환 고위험군의 미래 심혈관사건 한국형 예측 모형,Endocrinology,고려대학교 안암병원,2000,10년,1,1,2
C160046,우울증 진단/치료 의사결정 보조시스템 개발을 위한 뇌영상-오믹스 기반 빅데이터 구축 및 임상 검증 연구,Psychiatry,고려대학교 안암병원,300,51개월,1,3,1
C160043,국내 메르스 회복기 환자의 전향적 코호트 연구,Infectious disease,국립중앙의료원,148,2년,1,1,1
C160048,노쇠 관련 영양요인 평가,Family Medicine,단국대학교,1000,18개월,1,1,1
C130006,"고혈압의 치료에서 자가혈압, 활동혈압 측정의 유용성 평가",Cardiology,대한고혈압학회,420,23개월,1,1,1
C140003,알레르기비염 임상연구네트워크구축,Otorhinolaryngology,분당서울대학교병원,2000,19개월,1,1,1
C150009,알츠하이머병 치매 예측을 위한 임상 지표와 생화학적 바이오마커 연계 연구,Neurology,분당서울대학교병원,480,36개월,1,4,1
C150016,[KCDC]알츠하이머병 생물학적지표 기반 진단표준화 연구,Neurology,분당서울대학교병원,200,5개월,1,4,1
C140005,"뇌성마비 환아에서 동종 제대혈 시술과 적혈구생성인자 복합 치료의 유효성과 안전성 평가를 위한 이중 눈가림, 무작위 배정, 위약 대조군 임상시험",Rehabilitation Medicine,분당차병원,120,23개월,2,7,2
C140010,"갱년기 여성에서 신체, 정신 건강 상태 및 위험요인 규명을 위한 전향적 연구",Others,삼성서울병원,5000,32개월,1,1,2
C130001,국내 극소저체중아 관리지표 생산을 위한 레지스트리 구축 및 운영,Pediatrics,삼성서울병원,5000,34개월,1,1,1
C130007,아밀로이드증의 조기진단과 예후인자 발굴을 위한 연구,Cardiology,삼성서울병원,80,31개월,1,9,2
C140020,국내 시신경척수염 임상네트워크 구축 및 운영,Neurology,삼성서울병원,300,33개월,1,1,1
C100001,"급성심근경색 환자에서의 심부전 발생, 특성 및 예후: 1998년도와 2008년도의 비교",Cardiology,서울대학교병원,,6개월,1,1,1
C100004,다낭성난소증후군의 등록관리 및 질병관리지표 발굴을 위한 자원수집,Gynecology,서울대학교병원,700,10개월,1,2,1
C110002,심부전(Heart Failure) 질환코호트(Registry) 구축 및 관리 (2차년도),Cardiology,서울대학교병원,,6년,1,1,1
C120001,"항-TNFα 치료를 시작하는 B형 간염 바이러스 (HBV) 표면항원 혹은 항-HBc 항체 양성 류마티스 질환 환자에서 엔테카비어의 HBV 재활성화 예방을 평가하기 위한 무작위배정, 이중눈가림, 제 3상, 다기관, 연구자 주도 임상시험",Rheumatology,서울대학교병원,128,36개월,2,7,1
C140008,동종 지방유래 중간엽줄기세포(ALLO-ASC)를 이용한 힘줄손상치료: 선행 연구,Rehabilitation Medicine,서울대학교병원,12,16개월,2,5,2
C140011,장기이식코호트 구축 및 운영(신장),Nephrology,서울대학교병원,2000,32개월,1,1,1
C140019,골다공증 임상연구네트워크 구축사업,Endocrinology,서울대학교병원,5000,73개월,1,9,1
C150003,동종 지방유래 중간엽줄기세포(ALLO-ASC(shoulder))를 이용한 힘줄 손상 치료,Rehabilitation Medicine,서울대학교병원,24,2년,2,6,2
C120002,COREA(Cohort for Reality and Evolution of Adult Asthma in Korea) cohort 연구,Pulmonology,서울아산병원,10000,9년,1,1,1
C150007,장기이식코호트 구축 및 운영(췌장),Gastroenterology,서울아산병원,240,8년,1,1,1
C100005,POET study,Cardiology,서울아산병원,2062,60개월,2,8,1
C100008,"국내 주선천기형의 유전학적, 보건학적 특성 규명을 위한 등록 및 자원수집",Gynecology,서울아산병원,,,1,3,1
C100009,"A randomized, placebo controlled, double-blind, phase 4 study to evaluate efficacy and safety of triple anti-platelet therapy compared with dual antiplatelet therapy in patients treated with DES for Coronary Artery Disease",Cardiology,서울아산병원,2110,40개월,2,8,1
C110009,흡입스테로이드제 단독요법으로 6개월간 잘 조절된 천식 환자에서 지속 치료 중단에 관한 연구,Allergy,서울아산병원,233,36개월,1,3,1
C110014,ICS/LABA로 잘 조절됨 천식 환자에서 ICS 단독요법으로의 step-down에 관한 연구,Allergy,서울아산병원,200,50개월,1,3,1
C110015,파괴성 폐결핵 환자의 임상적 특징,Pulmonology,서울아산병원,600,,1,2,1
C120007,성인 중환자실 원내폐렴의 치료 실태 : 전향적 관찰연구,Infectious disease,서울아산병원,600,3년,1,1,1
C130009,조직구증식증 임상연구 네트워크 구축 및 운영(LCH),Pediatrics,서울아산병원,180,3년,1,1,1